Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta da Ouvidoria	RESPOSTAS COM ANEXO
026	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	15/10/2015	"1. Que seja informado qual dos servidores cedidos/à disposição (doc.1) pertenciam a Comarca de Paulista; 2. Que seja informado o cargo de cada servidor relacionado; 3. Que no Doc. 3, em anexo: seja incluída a página""2/4"" faltante, 2. Seja informado o cargo para o qual cada candidato foi nomeado; 3. Seja informado, conforme descrito no pedido inicial, menção as respectivas vacâncias que originaram tais nomeações, ou no caso de não haver tal menção, a lei ou ato normativo que as autorize; 4. No doc.4, em anexo, seja informado informado o cargo de cada servidor relacionado. "	09/11/2015	Entregue ao usuário, pessoalmente, na data de 09/11/2015.	SIM                     Pedido de Informação nº 026/2015
027	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	"Prezado (a),
Bom dia!
De acordo com a lei de acesso à informação de n. 12.527/11, gostaria de saber a quantidade de vagas em aberto existentes para o cargo de analista judiciário, pólo de classificação 03, região metropolitana II.
"	13/10/2015	"Prezada Senhora,

Ref.: PEDIDO DE INFORMAÇÃO Nº 027/2015 - CPSIC/TJPE

De acordo com informações prestadas pela Assessoria Técnica da Secretaria de Gestão de Pessoas - SGP, deste TJPE, atualmente não existem cargos vagos no âmbito do Tribunal de Justiça de Pernambuco, só estão ocorrendo nomeações para todos os polos em virtude de exoneração, aposentadoria ou falecimento.

Atenciosamente, 

Ouvidoria Geral da Justiça  
"	
028	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	11/10/2015	"1 - Relação dos servidores cedidos à disposição do Tribunal de Justiça de Pernambuco em outubro de 2015, que exercem sua atribuições nas Comarcas componentes do Agreste Setentrional (vide Edital nº 01/2011), a saber, Bom Jardim, Cumaru, Feira Nova, João Alfredo, Limoeiro, Orobó, Passira, Santa Cruz do Capibaribe, Santa Maria do Cambucá, São Vicente Férrer, Surubim, Taquaritinga do Norte, Toritama e Vertentes.  Especificando-se o cargo e o órgão de origem destes servidores.

2 - Considerando o levantamento realizado pela Secretaria de Gestão de Pessoas, por força da determinação proferida na decisão do Processo Administrativo 1181/2010 – CJ (RP nº 004428/2010), publicado no DJE 141/2013 do TJPE, quais as atividades desenvolvidas, de fato, pelos servidores cedidos nestas comarcas? Especificando-se se os referidos servidores desenvolvem no TJPE as mesmas atribuições do cargo de origem e se desenvolvem atribuições análogas aos cargos de Técnico Judiciário (Judiciária e Administrativa), Analista Judiciário (Judiciária e Administrativa) ou Oficial de Justiça.

3 - Existe o pagamento (qualquer nomenclatura) de benefício (complementar ou não) aos servidores cedidos ao Tribunal de Justiça?

4 - Quando os contratos/termos/acordos de cessão desses servidores mencionados no item ""1"" foram firmados? Qual o prazo de validade destes contratos/termos/acordos?

5 - Requer-se cópia dos contratos/termos/acordos firmados ou renovados no ano de 2013, 2014 e 2015, referidos no item anterior, caso existam.

6 - Quantitativo de servidores do quadro próprio do TJPE (com especificação de cargos e funções), outrora lotados nas comarcas mencionadas no item ""1"", que foram exonerados, demitidos ou tiveram declarados vagos os seus cargos, desde 01/01/2013 até a presente data.

7 - Quantitativo de nomeações (com especificação de cargos e funções) para o Polo de Classificação 07/Agreste Setentrional (Edital nº 01/2011),  que ocorreram em virtude de eventuais exonerações, demissões, declarações de cargos vagos, decurso de prazo e desistência de posse, desde 01/01/2013 até a presente data.
"	25/11/2015	"Prezado Senhor, 
De ordem do Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, Des. Ouvidor, encaminho, em arquivo anexo, resposta ao PEDIDO DE INFORMAÇÃO Nº 028/2015, formulado com base na LAI.
Quanto aos Servidores à disposição, segue link: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-requisitados
Atc.,   

Ouvidoria Geral da Justiça/CPSIC-TJPE 
"	SIM                   Pedido de Informação nº 028/2015
029	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/10/2015	"A Comissão de aprovados do Polo da Mata Sul II, solicita informações sobre quantidade de todos: os servidores efetivos; Servidores à disposição; Servidores dos cargos comissionados e o total de servidores do Polo da Mata Sul II. "	20/10/2015	"Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 

"	SIM                   Pedido de Informação nº 029/2015
030	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/10/2015	Solicito acesso à informação concernente à quantidade atual de cargos de técnico judiciário vagos no Estado de Pernambuco, assim como a relação completa de pessoal cedido ao TJPE em razão de convênios, por prefeituras ou qualquer outro organismo público, e que desempenhe funções próprias de técnico judiciário.	19/10/2015	"Prezado(a) Senhor(a),  

Ref. PEDIDO DE INFORMAÇÃO Nº 030/2015

De acordo com informações prestadas pela Assessoria Técnica da Secretaria de Gestão de Pessoas - SGP, deste TJPE, atualmente não existem cargos vagos no âmbito do Tribunal de Justiça de Pernambuco, só estão ocorrendo nomeações para todos os polos em virtude de exoneração, aposentadoria ou falecimento.

No que tange ao pessoal cedido ao TJPE, segue link para as devidas informações: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-requisitados
  

Ouvidoria Geral da Justiça 

"	
031	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	27/10/2015	"Prezado,
Boa noite!

Com base na lei de acesso à informação, gostaria de obter a lista de analistas judiciários cedidos e a lista dos efetivos exercendo essa função. 
"	04/11/2015	"Prezado(a) Senhor(a), 

Ref. Pedido de Informação nº 031/2015 - CPSIC/TJPE

As informações requeridas por V.Sa. já se encontram disponibilizadas no seguintes link's do sítio oficial do TJPE:

www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional

Atc.,

Ouvidoria Geral da Justiça 
"	
032	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	22/10/2015	"Gostaria de saber a quantidade de servidores cedidos por outros órgãos ao TJPE nas Comarcas de Olinda, Paulista Abreu e Lima, Igarassu, Itapiassuma, Itamaracá, Camaragibe e São Lourenço da Mata, bem como a quantidade desses cedidos também em todo Estado de PE. Gostaria ainda de saber quem os remuneram? 
Solicito também que seja prestada informações para saber quais as vacâncias surgidas nas comarcas acima citadas que foram utilizadas em outras comarcas.
"	04/11/2015	"Prezado(a) Senhor(a), 
Ref. Pedido de Informação nº 032/2015 - CPSIC/TJPE

As informações requeridas por V.Sa. já se encontram disponibilizadas no link da transparência do sítio oficial do TJPE:

Link's: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria

Sublink's:

www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-por-lotacao
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores

Atc.,
Ouvidoria Geral da Justiça 

"	
033	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	25/10/2015	Gostaria de saber a quantidade de cargos de Técnico Judiciário - TPJ - Judiciária e Administrativa que existem na Capital do Estado, em todos os juízos, e quantos deles estão providos e quanto estão vagos.	04/11/2015	"Prezado(a) Senhor(a), 

Ref. Pedido de Informação nº 033/2015 - CPSIC/TJPE

As informações requeridas por V.Sa. já se encontram disponibilizadas no link da transparência do sítio oficial do TJPE:

Link's: www.tjpe.jus.br/web/transparencia/vencimento-colaboradoreswww.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria

Sublink's:
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-por-lotacao
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores

Atc.,
Ouvidoria Geral da Justiça 

"	
034	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	30/10/2015	"Venho respeitosamente solicitar resposta aos seguintes questionamentos:
a. Qual a quantidade de servidores cedidos à disposição do Tribunal de Justiça de Pernambuco em setembro de 2015 no polo 2 região metropolitana 1 do ultimo concurso realizado por este órgão (Abreu e Lima,Camaragibe, Igarassu, Itapissuma, Itamaracá, Olinda, Paulista e São Lourenço da Mata)?
b. Onde esses servidores estão exercendo suas atribuições atualmente?
c. Quais as atividades desenvolvidas pelos servidores cedidos?
d. Qual o órgão ou entidade de origem desses servidores?
e. Existe o pagamento (qualquer nomenclatura) de benefício (complementar ou não) aos servidores cedidos ao Tribunal de Justiça?
f. Quando os contratos/termos/acordos de cessão foram firmados?
g. Qual o prazo de validade desses contratos/termos/acordos?
h. Requer-se cópia dos contratos/termos/acordos firmados ou renovados no ano de 2013, 2014 e 2015, caso existam.
i. Qual a quantidade de vagas (qualquer forma de vacância) disponíveis para o cargo de técnico judiciário em setembro de 2015?
j. Qual a quantidade de vagas (qualquer forma de vacância) disponíveis para o cargo de analista judiciário em setembro de 2015?
"	04/11/2015	"Prezado(a) Senhor(a), 

Ref. Pedido de Informação nº 034/2015 - CPSIC/TJPE

As informações requeridas por V.Sa. já se encontram disponibilizadas no link da transparência do sítio oficial do TJPE:

Link's: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria

Sublink's:
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-por-lotacao
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores

Atc.,
Ouvidoria Geral da Justiça 

"	
035	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/11/2015	"Prezado(a) Senhor(a) Diretor(a),

Com o objetivo de instruir nossos requerimentos e atuação junto aos poderes constituídos, especialmente para atuação no Congresso Nacional, onde há vários projetos de interesse da Categoria dos Oficiais de Justiça (estacionamento especial e isenção de tributos para aquisição de veículo para utilização no cumprimento de mandados judiciais, porte de arma, aposentadoria especial, etc).

SOLCITO seja informado o quantitativo de cargos existentes e efetivamente ocupados de Oficial de Justiça.

SOLICITO AINDA seja informado o SALÁRIO INICIAL e FINAL, bem como os BENEFÍCIOS do cargo.

Desde já agradeço.
"	04/11/2015	"Prezado(a) Senhor(a), 
Ref. Pedido de Informação nº 035/2015 - CPSIC/TJPE

As informações requeridas por V.Sa. já se encontram disponibilizadas no link da transparência do sítio oficial do TJPE:

Link's: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria

Sublink's:

www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-por-lotacao
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores

Atc.,
Ouvidoria Geral da Justiça "	
036	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	27/10/2015	"GOSTARIA DE SER INFORMADO SE EXISTEM CARGOS VAGOS  E QUAL A QUANTIDADE, NO POLO DE CLASSIFICAÇÃO MATA SUL I, PARA OS CARGOS DE ANALISTA JUDICIÁRIO E OFICIAL DE JUSTIÇA.

"	12/11/2015	"Prezado(a) Senhor(a), 

Ref. PEDIDO DE INFORMAÇÃO Nº 036/2015 - CPSIC/TJPE

De acordo com informações prestadas pela Assessoria Técnica da Secretaria de Gestão de Pessoas - SGP, deste TJPE, atualmente não existem cargos vagos no âmbito do Tribunal de Justiça de Pernambuco, só estão ocorrendo nomeações para todos os polos em virtude de exoneração, aposentadoria ou falecimento.

No que tange ao quantitativo de pessoal deste TJPE, entre outras informações pertinentes a Servidores e Membros deste Poder, encontram-se disponibilizadas nos seguintes link's e sub Link's do Sítio Oficial do Tribunal:

Link's: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria

Sublink's:

www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/cargos-efetivos
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/quantitativo-cargos-efetivos/situacao-funcional
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/estrutura-remuneratoria
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/servidores-por-lotacao
www.tjpe.jus.br/web/transparencia/vencimento-colaboradores
  
Atc.,

Ouvidoria Geral da Justiça- CPSIC/TJPE 
"	
037	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	11/11/2015	"COM FULCRO NA LEI 12.527/11, LEI DE ACESSO À INFORMAÇÃO, E DEVIDO À NÃO CONSTATAÇÃO DE NOMEAÇÕES RELATIVAS ÀS VACÂNCIAS ORIGINADAS NO CONCURSO PÚBLICO PARA CARGOS DE SERVIDORES DESTE PODER, NO POLO 2, REGIÃO METROPOLITANA 1, VISTO QUE JÁ FORAM VERIFICADOS TODOS OS ATOS DE NOMEAÇÃO DO REFERIDO CONCURSO, E DEVIDO À INFORMAÇÃO REPASSADA PELA SGP, BEM COMO PELA ASSESSORIA DA PRESIDENCIA DO TJPE, QUE TAIS VACÂNCIAS SERIAM UTILIZADAS EM OUTROS POLOS, SOLICITO RESPEITOSAMENTE INFORMAR A DESTINAÇÃO DAS SEGUINTES VACÂNCIAS:
VACÂNCIAS NÃO REPOSTAS NO POLO 2, REGIÃO METROPOLITANA I, SURGIDAS POR MEIO DE DECLARAÇÃO DE CARGOS VAGOS OU EXONERAÇÕES.
1. XXXXXXX, mat. XXXXX, cargo efetivo de técnico judiciário, referencia TPJ, a partir de 04/07/2014 vinculado ao Polo 02 região metropolitana I, Ato da SGP nº2922/14 SGP, publicado no DOE edição nº 124/2014 de 14/07/2014;
2.  XXXXX, mat.  XXXXX, cargo efetivo de técnico judiciário, referência TJP, a partir de 07/07/14, vinculado ao Polo 02 região metropolitana I, Ato da SGP nº 3027/14 SGP, publicado no DOE edição nº 126/2014 de 16/07/2014;
3.  XXXXX, mat.  XXXXX, cargo efetivo de técnico judiciário, referência TJP, a partir de 09/09/14, vinculado ao Polo 02 região metropolitana I, Ato da SGP nº 4057/14 SGP, publicado no DOE edição nº 170/2014 de 17/09/2014;
4. XXXXX, mat. XXXXX, cargo efetivo de técnico judiciário, referência TJP, a partir de 15/09/14, vinculado ao Polo 02 região metropolitana I, Ato da SGP nº 4058/14 SGP, publicado no DOE edição nº 170/2014 de 17/09/2014;
5. XXXXX, mat. XXXXX, cargo efetivo de analista judiciário, referência AJP, a partir de 15/09/14, vinculado ao Polo 02 região metropolitana I, Ato da SGP nº 4080/14 SGP, publicado no DOE edição nº 172/2014 de 19/09/2014;
6. XXXXX, mat. XXXXX, cargo efetivo de Técnico judiciário, referencia TJP, a partir de 30/09/2015, vinculado ao Polo 02 região metropolitana I, Ato da SGP nº 4418 /15, publicado no DOE edição 180/2015 de 02/10/2015;
7. XXXXX, mat. XXXXX, cargo efetivo de técnico judiciário, referência TPJ, a partir de 04/11/2015, vinculada ao Polo 02 região metropolitana I, Ato da SGP nº 4930/15, publicado no DOE edição nº 202/2015 de 06/11/2015.

VACÂNCIAS NÃO REPOSTAS NO POLO 2, REGIÃO METROPOLITANA I, SURGIDAS POR MEIO DE TRANSFERÊNCIA, VIA SELEÇÃO TORNADA PÚBLICA ATRAVÉS DO EDITAL Nº 04, DE 13 DE JUNHO DE 2014
1. XXXXX, mat. XXXXX, técnico judiciário, Comarca de São Lourenço da Mata;
2. XXXXX, mat. XXXXX, técnico judiciário, Comarca de Paulista;
3. XXXXX, mat. XXXXX, analista judiciário, Comarca de Olinda;
4. XXXXX, mat. XXXXX, analista judiciário, Comarca de Olinda; 
5. XXXXX, mat. XXXXX, analista judiciário, Comarca de Camaragibe;

VACÂNCIAS NÃO REPOSTAS NO POLO II, REGIÃO METROPOLITANA I, SURGIDAS ATRAVÉS DE APOSENTADORIAS:
1. XXXXX, Matrícula XXXXX, cargo efetivo de técnico judiciário, referência TPJ, a partir de 26/08/2015, vinculado ao polo 2 região metropolitana I, publicado no DOE edição 155/2015 de 27/08/2015;
2.  XXXXX, matrícula nº XXXXX, cargo efetivo de Técnico Judiciário, Referência TPJ, vinculado ao polo 2 região metropolitana I, ATO Nº 4378/2015 ? SGP , publicado no DOE Edição nº 176/2015 de 28/09/15.

AINDA, QUE AS INFORMAÇÕES AQUI SOLICITADAS SÃO DE CARÁTER PÚBLICO, DE ORDEM GERAL, MACRO INFORMAÇÕES, DE FORMA QUE O ENVIO DE LINKS DE INTERNET COMO RESPOSTA NÃO TEM VALOR DOCUMENTAL, REITERO O PEDIDO DE QUE SEJA DADA RESPOSTA ATRAVÉS DE DOCUMENTO OFICIAL VALIDADO POR ASSINATURA DE AGENTE PÚBLICO.
"	14/12/2015	Entregue ao usuário, pessoalmente, na data de 14/12/2015	
038	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	25/092015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
039	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	02/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
040	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	16/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
041	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
042	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
043	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	02/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
044	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	10/11/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
045	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/11/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
046	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
047	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
048	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
049	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/10/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	03/12/2015	"Entregue ao usuário, pessoalmente, na data de 03/12/2015.
"	SIM                    Pedido de Informação nº 038 ao 049/2015
050	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/11/2015	Informações acerca do concurso público servidor TJPE/2011, protocoladas diretamente na Secretaria de Gestão de Pessoas. 	04/12/2015	"Prezado(a) Senhor(a), 

Ref: PEDIDO DE INFORMAÇÃO Nº 050/2015 - CPSIC/TJPE

Segue, em arquivo anexo, resposta ao Pedido de Informação, com base na LAI, registrada neste Órgão sob o nº em epígrafe.

Atc., 

Ouvidoria Geral da Justiça 
"	SIM                   Pedido de Informação nº 050/2015
051	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	23/10/2015	"Usuário questiona acerca de servidores terceirizados, temporários e/ou cedidos que estejam exercendo a atividade-fim no TJPE no ano de 2015. 
"	04/12/2015	"a) setembro/2015 = 829 servidores à disposição no TJPE; b) os mesmos estão exercendo suas atividades nas Comarcas da Capital e do interior; c) Exercem atividades de apoio: serviços médicos, gerais, virgilancia e motorista; d) são oriundos do Governo do Estado, Prefeituras, Câmeras Municipais, Tribunais de outros estados e Ministerio Público; d) Aos servidores cedidos é paga a gratificação de incentivo.  "	
052	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	23/11/2017	"Usuário questiona acerca de servidores terceirizados, temporários e/ou cedidos que estejam exercendo a atividade-fim no TJPE no ano de 2015.  
"	04/12/2015	"a) Outubro/2015 = 829 servidores à disposição no TJPE; b) os mesmos estão exercendo suas atividades nas Comarcas da Capital e do interior; c) Exercem atividades de apoio: serviços médicos, gerais, virgilancia e motorista; d) são oriundos do Governo do Estado, Prefeituras, Câmeras Municipais, Tribunais de outros estados e Ministerio Público; d) Aos servidores cedidos é paga a gratificação de incentivo.  "	
053	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	18/11/2015	"Usuária solicita informações relacionadas aos servidores à disposição do TJPE. Requer saber qual a função exercida pelos servidores.

"	14/12/2015	Exercem atividades de apoio, serviçoes de secretaria e vigilância e motorista. 	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
